"Time","histogram_quantile(0.95, sum by (le) (rate(http_server_requests_seconds_bucket{namespace=""default"", job=""order"", uri!=""/actuator/prometheus""}[5m])))"
2026-04-13 00:35:00,0.00304
2026-04-13 00:35:30,0.00381
2026-04-13 00:36:00,0.00381
2026-04-13 00:36:30,0.00381
2026-04-13 00:37:00,0.00369
2026-04-13 00:37:30,0.00369
2026-04-13 00:38:00,0.00369
2026-04-13 00:38:30,0.00369
2026-04-13 00:39:00,0.00369
2026-04-13 00:39:30,0.00327
2026-04-13 00:40:00,0.00334
2026-04-13 00:40:30,0.00321
2026-04-13 00:41:00,0.00321
2026-04-13 00:41:30,0.00338
2026-04-13 00:42:00,0.00347
2026-04-13 00:42:30,0.00347
2026-04-13 00:43:00,0.00344
2026-04-13 00:43:30,0.00409
2026-04-13 00:44:00,0.00414
2026-04-13 00:44:30,0.00517
2026-04-13 00:45:00,0.00608
2026-04-13 00:45:30,0.00608
2026-04-13 00:46:00,0.00549
2026-04-13 00:46:30,0.00514
2026-04-13 00:47:00,0.00479
2026-04-13 00:47:30,0.00552
2026-04-13 00:48:00,0.00551
2026-04-13 00:48:30,0.00584
2026-04-13 00:49:00,0.00545
2026-04-13 00:49:30,0.00545
2026-04-13 00:50:00,0.00373
2026-04-13 00:50:30,0.00338
2026-04-13 00:51:00,0.00337
2026-04-13 00:51:30,0.00337
2026-04-13 00:52:00,0.00372
2026-04-13 00:52:30,0.00257
2026-04-13 00:53:00,0.00243
2026-04-13 00:53:30,0.0167
2026-04-13 00:54:00,0.112
2026-04-13 00:54:30,0.194
2026-04-13 00:55:00,0.212
2026-04-13 00:55:30,0.213
2026-04-13 00:56:00,0.216
2026-04-13 00:56:30,0.212
2026-04-13 00:57:00,0.214
2026-04-13 00:57:30,0.217
2026-04-13 00:58:00,0.215
2026-04-13 00:58:30,0.217
2026-04-13 00:59:00,0.219
2026-04-13 00:59:30,0.269
2026-04-13 01:00:00,0.282
2026-04-13 01:00:30,0.296
2026-04-13 01:01:00,0.306
2026-04-13 01:01:30,0.318
2026-04-13 01:02:00,0.326
2026-04-13 01:02:30,0.333
2026-04-13 01:03:00,0.336
2026-04-13 01:03:30,0.341
2026-04-13 01:04:00,0.344
2026-04-13 01:04:30,0.347
2026-04-13 01:05:00,0.348
2026-04-13 01:05:30,0.352
2026-04-13 01:06:00,0.347
2026-04-13 01:06:30,0.336
2026-04-13 01:07:00,0.293
2026-04-13 01:07:30,0.283
2026-04-13 01:08:00,0.216
2026-04-13 01:08:30,0.00163
2026-04-13 01:09:00,0.00173
2026-04-13 01:09:30,0.00172
2026-04-13 01:10:00,0.00183
2026-04-13 01:10:30,0.00183
2026-04-13 01:11:00,0.00163
2026-04-13 01:11:30,0.00171
2026-04-13 01:12:00,0.00187
2026-04-13 01:12:30,0.00187
2026-04-13 01:13:00,0.00187
2026-04-13 01:13:30,0.00187
2026-04-13 01:14:00,0.00171
2026-04-13 01:14:30,0.00204
2026-04-13 01:15:00,0.00199
2026-04-13 01:15:30,0.00218
2026-04-13 01:16:00,0.00199
2026-04-13 01:16:30,0.00199
2026-04-13 01:17:00,0.00187
2026-04-13 01:17:30,0.00195
2026-04-13 01:18:00,0.00234
2026-04-13 01:18:30,0.00234
2026-04-13 01:19:00,0.00234
2026-04-13 01:19:30,0.00195
2026-04-13 01:20:00,0.00190
2026-04-13 01:20:30,0.00194
2026-04-13 01:21:00,0.00253
2026-04-13 01:21:30,0.00253
2026-04-13 01:22:00,0.00253
2026-04-13 01:22:30,0.00206
2026-04-13 01:23:00,0.00195
2026-04-13 01:23:30,0.00195
2026-04-13 01:24:00,0.00195
2026-04-13 01:24:30,0.00187
2026-04-13 01:25:00,0.00187
2026-04-13 01:25:30,0.00173
2026-04-13 01:26:00,0.00146
2026-04-13 01:26:30,0.00146
2026-04-13 01:27:00,0.00146
2026-04-13 01:27:30,0.00152
2026-04-13 01:28:00,0.00163
2026-04-13 01:28:30,0.00163
2026-04-13 01:29:00,0.00155
2026-04-13 01:29:30,0.00148
2026-04-13 01:30:00,0.00171
2026-04-13 01:30:30,0.00171
2026-04-13 01:31:00,0.00171
2026-04-13 01:31:30,0.00171
2026-04-13 01:32:00,0.00164
2026-04-13 01:32:30,0.00137
2026-04-13 01:33:00,0.00131
2026-04-13 01:33:30,0.00128
2026-04-13 01:34:00,0.00131
2026-04-13 01:34:30,0.00132
2026-04-13 01:35:00,0.00128
2026-04-13 01:35:30,0.00134
2026-04-13 01:36:00,0.00133
2026-04-13 01:36:30,0.00132
2026-04-13 01:37:00,0.00133
2026-04-13 01:37:30,0.00138
2026-04-13 01:38:00,0.00133
2026-04-13 01:38:30,0.00138
2026-04-13 01:39:00,0.00152
2026-04-13 01:39:30,0.00152
2026-04-13 01:40:00,0.00135
2026-04-13 01:40:30,0.00117
2026-04-13 01:41:00,0.00152
2026-04-13 01:41:30,0.00152
2026-04-13 01:42:00,0.000996
2026-04-13 01:42:30,0.00129
2026-04-13 01:43:00,0.00129
2026-04-13 01:43:30,0.00103
2026-04-13 01:44:00,0.00103
2026-04-13 01:44:30,0.00103
2026-04-13 01:45:00,0.00126
2026-04-13 01:45:30,0.00121
2026-04-13 01:46:00,0.00126
2026-04-13 01:46:30,0.00133
2026-04-13 01:47:00,0.00135
2026-04-13 01:47:30,0.00136
2026-04-13 01:48:00,0.00538
2026-04-13 01:48:30,0.00538
2026-04-13 01:49:00,0.00538
2026-04-13 01:49:30,0.00538
2026-04-13 01:50:00,0.00538
2026-04-13 01:50:30,0.00538
2026-04-13 01:51:00,0.00517
2026-04-13 01:51:30,0.00517
2026-04-13 01:52:00,0.00517
2026-04-13 01:52:30,0.00241
2026-04-13 01:53:00,0.00208
2026-04-13 01:53:30,0.00208
2026-04-13 01:54:00,0.00208
2026-04-13 01:54:30,0.00208
2026-04-13 01:55:00,0.00216
2026-04-13 01:55:30,0.00216
2026-04-13 01:56:00,0.00203
2026-04-13 01:56:30,0.00203
2026-04-13 01:57:00,0.00201
2026-04-13 01:57:30,0.00187
2026-04-13 01:58:00,0.00190
2026-04-13 01:58:30,0.00190
2026-04-13 01:59:00,0.00183
2026-04-13 01:59:30,0.00183
2026-04-13 02:00:00,0.00164
2026-04-13 02:00:30,0.00138
2026-04-13 02:01:00,0.00131
2026-04-13 02:01:30,0.00148
2026-04-13 02:02:00,0.00117
2026-04-13 02:02:30,0.00117
2026-04-13 02:03:00,0.00117
2026-04-13 02:03:30,0.00117
2026-04-13 02:04:00,0.000996
2026-04-13 02:04:30,0.000996
2026-04-13 02:05:00,0.000996